fips,state,state_population_2000,state_population_2010,state_population_2017
01,Alabama,4451601,4785401,4874747
02,Alaska,627576,714146,739795
04,Arizona,5165765,6413158,7016270
05,Arkansas,2678322,2921588,3004279
06,California,33999879,37338198,39536653
08,Colorado,4326872,5047692,5607154
09,Connecticut,3411750,3575498,3588184
10,Delaware,786397,899792,961939
11,District of Columbia,571437,604912,693972
12,Florida,16047807,18838613,20984400
13,Georgia,8230094,9712157,10429379
15,Hawaii,1212343,1363359,1427538
16,Idaho,1299610,1571102,1716943
17,Illinois,12438824,12841980,12802023
18,Indiana,6091535,6490622,6666818
19,Iowa,2928514,3050202,3145711
20,Kansas,2692643,2859143,2913123
21,Kentucky,4048635,4347223,4454189
22,Louisiana,4469216,4545343,4684333
23,Maine,1277280,1327379,1335907
24,Maryland,5311531,5785681,6052177
25,Massachusetts,6362076,6555466,6859819
26,Michigan,9955795,9877143,9962311
27,Minnesota,4933648,5310658,5576606
28,Mississippi,2848440,2970072,2984100
29,Missouri,5605995,5995715,6113532
30,Montana,903380,990958,1050493
31,Nebraska,1713165,1830141,1920076
32,Nevada,2018104,2704283,2998039
33,New Hampshire,1240472,1316807,1342795
34,New Jersey,8432116,8799593,9005644
35,New Mexico,1821544,2065913,2088070
36,New York,18997344,19395206,19849399
37,North Carolina,8077662,9560234,10273419
38,North Dakota,641082,674629,755393
39,Ohio,11363337,11537968,11658609
40,Oklahoma,3453996,3760184,3930864
41,Oregon,3430706,3838332,4142776
42,Pennsylvania,12285492,12717722,12805537
44,Rhode Island,1050664,1052528,1059639
45,South Carolina,4023129,4637106,5024369
46,South Dakota,755683,816598,869666
47,Tennessee,5702670,6357436,6715984
48,Texas,20949316,25253466,28304596
49,Utah,2243129,2775479,3101833
50,Vermont,609932,625909,623657
51,Virginia,7104852,8023953,8470020
53,Washington,5911043,6742950,7405743
54,West Virginia,1807326,1854368,1815857
55,Wisconsin,5373947,5691659,5795483
56,Wyoming,494078,564554,579315